Name,Type,OfficialOrCommunity,URL,SourceRepo,MainPurpose,TargetUsers,SupportedAgents,InstallMethod,Authentication,Pricing,OpenSource,License,LastUpdate,Activity,SecurityNotes,BeginnerFriendly,RecommendedSection,VerifiedDate,EvidenceURL,Tier
AutoGen (AG2),Framework,Community(MS Research),https://microsoft.github.io/autogen/,https://github.com/microsoft/autogen,Multi-agent conversation framework; GroupChat,Research/advanced devs,AutoGen,pip install pyautogen,Model API keys,Free,Yes,MIT,2026,Active,Merging into MS Agent Framework,Partial,PART10,2026-09-18,https://autogpt.net/top-ai-agent-frameworks/,C
OpenAI Agents SDK,SDK,Official(OpenAI),https://github.com/openai/openai-agents-python,https://github.com/openai/openai-agents-python,"Multi-agent workflow SDK; handoffs, guardrails, tracing",Developers,OpenAI models + LiteLLM providers,pip install openai-agents,OpenAI API key,Free (API costs),Yes,MIT,2026-04,Active,Provider-agnostic via LiteLLM,Partial,PART10,2026-09-18,https://openai.com/index/the-next-evolution-of-the-agents-sdk/,A
Google ADK,SDK,Official(Google),https://github.com/google/adk-python,https://github.com/google/adk-python,Google Agent Development Kit; GCP-native,GCP teams,Vertex AI,pip install,Google Cloud auth,Free+paid cloud,Yes,Apache 2.0,2026,Active,GCP lock-in,Partial,PART10,2026-09-18,https://www.langchain.com/resources/ai-agent-frameworks,A
LlamaIndex Workflows,Framework,Community,https://www.llamaindex.ai/,https://github.com/run-llama/llama_index,Event-driven document-centric multi-agent workflows,RAG devs,LlamaIndex,pip install llama-index,Model API keys,Free,Yes,MIT,2026,Active,Document-centric,Partial,PART10,2026-09-18,https://www.langchain.com/resources/ai-agent-frameworks,C
Haystack,Framework,Community(deepset),https://haystack.deepset.ai/,https://github.com/deepset-ai/haystack,Enterprise RAG/agent framework; 19K+ stars,Enterprise devs,Haystack,pip install haystack-ai,Model API keys,Free,Yes,Apache 2.0,2026,Active,Enterprise search,Partial,PART10,2026-09-18,https://the-agent-report.com/2026/07/ai-agent-frameworks-comparison-2026-langgraph-crewai-autogen/,C
Mastra,Framework,Community,https://mastra.ai/,https://github.com/mastra-ai/mastra,TypeScript production agent framework,TS teams,Mastra,npm install,Model API keys,Free+paid,Partial,Apache 2.0,2026,Active,TS ecosystem,Partial,PART10,2026-09-18,https://www.langchain.com/resources/ai-agent-frameworks,C
Semantic Kernel (legacy),SDK,"Official(Microsoft, legacy)",https://github.com/microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,Enterprise SDK; merged into Microsoft Agent Framework 2025-10,Legacy users,N/A,pip install,Azure,Free,Yes,MIT,2025,Merged,Do not start new projects here,No,Appendix deprecated,2026-09-18,https://devblogs.microsoft.com/foundry/introducing-microsoft-agent-framework/,D
SWE-bench,Benchmark,Academic(Princeton),https://www.swebench.com/,https://github.com/SWE-bench/SWE-bench,Solve real GitHub issues; Verified/Lite/Pro variants,Researchers,SWE-agent etc.,HuggingFace dataset / Docker,Free,Free,Yes,MIT,2026-09,Active,Beware benchmark gaming (RDI 2026),No,PART11 Eval,2026-09-18,https://www.swebench.com/,A
tau2-bench,Benchmark,Academic(Sierra),https://github.com/sierra-research/tau-bench,https://github.com/sierra-research/tau-bench,Multi-turn tool-use; retail/airline/telecom; pass^k,Researchers,MCP/tool agents,HuggingFace dataset,Free,Free,Yes,MIT,2026,Active,Multi-turn coherence,No,PART11,2026-09-18,https://rdi.berkeley.edu/agentx-agentbeats.html,A
Berkeley Function-Calling Leaderboard,Leaderboard,Academic(Berkeley),https://gorilla.cs.berkeley.edu/leaderboard,https://github.com/ShishirPatil/gorilla,BFCL V4 function calling AST evaluation,Researchers,All LLM providers,Web leaderboard,Free,Free,Yes,Apache 2.0,2026-04,Active,Live board; don't copy stale tables,No,PART11,2026-09-18,https://gorilla.cs.berkeley.edu/leaderboard,A
OSWorld,Benchmark,Academic,https://os-world.github.io/,https://github.com/xlang-ai/OSWorld,Real desktop GUI automation (Ubuntu/Win/macOS),Researchers,Computer-use agents,Docker,Free,Free,Yes,MIT,2026,Active,Human baseline 72.36%,No,PART11,2026-09-18,https://aiwiki.ai/wiki/osworld,A
WebArena,Benchmark,Academic,https://webarena.dev/,https://github.com/web-arena-x/webarena,Sandboxed web agent; 812 templated tasks,Researchers,Web agents,Docker,Free,Free,Yes,Apache 2.0,2026,Active,Sandboxed websites,No,PART11,2026-09-18,https://aiwiki.ai/wiki/osworld,A
GAIA,Benchmark,Academic,https://huggingface.co/spaces/gaia-benchmark/leaderboard,https://huggingface.co/datasets/gaia-benchmark/GAIA,General AI assistant; Levels 1/2/3,Researchers,Generalist agents,HuggingFace,Free,Free,Yes,MIT,2026,Active,Mixed tasks,No,PART11,2026-09-18,https://www.awesomeagents.ai/leaderboards/,A
Terminal-Bench,Benchmark,Academic,https://www.tbench.ai/,https://github.com/laude-institute/terminal-bench,Terminal coding benchmark,Researchers,Terminal agents,Docker,Free,Free,Yes,MIT,2026,Active,Real terminal tasks,No,PART11,2026-09-18,https://fleeceai.app/blog/ai-agent-benchmarks-2026-explained,A
CAR-bench,Benchmark,Academic(Berkeley RDI),https://rdi.berkeley.edu/agentx-agentbeats.html,N/A,Computer Use / Web Agent benchmark,Researchers,Computer-use agents,N/A,Free,Free,N/A,N/A,2026-08,Active,RDI contest,No,PART11,2026-09-18,https://rdi.berkeley.edu/agentx-agentbeats.html,D
Pi-Bench,Benchmark,Academic,https://arxiv.org/abs/2504.19184,N/A,Agent safety benchmark,Researchers,Safety researchers,N/A,Free,Free,N/A,N/A,2025,Active,Safety direction,No,PART11,2026-09-18,https://rdi.berkeley.edu/agentx-agentbeats.html,D
MCPZoo (paper),Dataset,Academic,https://arxiv.org/pdf/2512.15144,N/A,"90,146 runnable MCP servers dataset from 6 sources",Researchers,N/A,ArXiv,Free,Free,N/A,N/A,2025-12,Active,Research dataset,No,PART11,2026-09-18,https://arxiv.org/pdf/2512.15144,D
Agent Skills Reuse Study (138K SKILL.md),Paper,Academic,https://arxiv.org/html/2608.08453v1,N/A,What keeps skills from being reusable; 138K SKILL.md crawl,"Researchers, authors",N/A,ArXiv,Free,Free,N/A,N/A,2026-08,Active,First Agent Skills Workshop,No,PART11,2026-09-18,https://arxiv.org/html/2608.08453v1,D
